kriol	english
didibaba	lotusbird
didiwu	dive
didiwu	plunge
didn	didn’t
dif	differential
difrin	different
difrin	various
difrinkain	different
digam	dig
digam	speed up
digamap	dig
digan la top	god
digim	dig
digim	take
digimat	dig out
digimat	take out
digimat	break open
digimat	cut
digulim	tickle
dijan	this
dijan	this one
dijan	here
dijaniya	this
dijaridu	bamboo
dijei	this way
dijei	hither
dijei	that way
dijei	towards
dijkantri	here
dijkantri	this place
dilaj	be uncooperative
dilib	tea
dilib	tea leaves
dilibeg	dilly bag
dilibeg	basket
dilibeig	penis
dilim	deal
dilyarr	tree
dim	dim
dim	soft
dina	dinner
dina	midday meal
dina	this
dina	lunch
dinakemp	temporary camp
dinataim	dinnertime
dinataim	lunch
dinataim	midday meal
dinataim	lunchtime
dinga	flying fox
dinggi	small boat
dinggi	dinghy
dinggo	dingo
dinggo	big dog
dinggo	big
dinggo	dog
dinkis	metal box
dinkis	metal case
dip	deep
dipwoda	deep
dirdibawuba	lotusbird
dirr	fart
dirrawu	dive
dirrawu	jump in
dis	this
dish	dish
dismob	these
disobidiyans	be disobedient
dissaid	this side
distaim	this time
diwait	black duck
diya	dangerous
diya	deer
diya	important
doda	daughter
dodjim	dodge
dog	dog
doitjim	avoid
doitjim	dodge
dojim	bypass
dojim	dodge
dojim	miss
dojim	spotlight
dojingbat	zigzag
dojingwan	zigzag
dokta	doctor
doktabala	doctor
doktabala	witch doctor
doktabala	prophet
doktabala	wise person
doktabala	clever man
dola	dollar
doldol	cucumber
doldol	ring bell
dolidoli	doll
don	do not
dongki	donkey
donkenggarru	kangaroo
donmada	regardless
dono	don’t know
dop	blouse
dop	top
dot	louse
dot	nit
dowa	door
dowa	gate
drabum	drop
drafhos	horse
drai	dry
drai	to be
draiba	driver
draibam	yeast
draibim	drive
draibim	ride
draim	dry
draimat	dry out
draipleis	riverbank
draipleis	dry place
draisisan	dry season
draiyim	dry
draiyimap	dry
drajim	believe
drajim	trust
dram	drum
dran	drown
dran	submerge
drangginbala	drunk
drangginmen	drunk
drangginwan	drunk
drangkimap	make drunk
drangkin	drunk
dranim	drown
dranim	submerge
drap	collapse
drap	drop
drapam	drop
drapam	knockout
draun	drown
draun	sink
draundim	drown
dregin flai	dragonfly
dregin flai	smallish
dregli	directly
dregli	immediately
dregli	soon
drein	drain
dreinimat	strain
drenggilim	choke
dres	dress
driNgim	drink
driNk	drink
dribala	three
drim	dream
drimin	dreaming
drimin	dreamtime
drimin	totem
drimintaim	dreamtime
dringgim	drink
dringk	alcohol
dringk	drink
dringkimap	drink
dringkin	drinking
drip	drip
drongimbala	drunk
dropim	drop
dropim	throw down
drowim	draw
druhones	true
du	do
du	too
du	two
dubala	married couple
dubala	them
dubala	they
dubala	two
duim	do
duingap	hiding
duingap	spanking
duit	do
duit	obey
dum	do
dum	obey
dum	say
dum	tell
dumaj	many
dumaj	much
dumaj	big mob
dumaj	crowd
dumaji	because
dumeni	lots
dumeni	many
dumeni	plenty
dumeni	big mob
dumeni	crowd
dunda	grass
dupal	fruit
duwa	door
duwumbek	retaliate
dyu	dew
dyu	fog
dyugong	dugong
e:pot	airport
e:tim	hurt
ea	hair
eagidap	shiver
eapat	hair
eapin	hairpin
eba	ever
eba	have
eben	heaven
ebi	heavy
ebidi	every
ebri	every
ebribodi	everybody
ebridei	everyday
ebrijing	all sorts
ebrijing	everything
ebrinait	every night
ebritaim	every time
ebriwan	everyone
ebriwei	everyway
ebriweya	all over
ebriweya	everywhere
ebriwik	every week
ebriyiya	every year
ed	head
edben	headband
edeik	headache
edeik	have a headache
edimap	add up
egen	again
egret	egret
egret	White
egskus	excuse
ei	agreed
ei	correct
eig	egg
eijdi	leprosy
eijins spai	spy
eindit	isn’t it
einggim	hang
eingka	anchor
eingkul	ankle
einjul	angel
eit	eight
ejij	ashes
ejij	coals
eks	axe
eksadint	accident
eksadint	have an accident
eksaidid	excited
eksiden mani	compensation
eksplenim	explain
eksplenim	make good
eksul	axle
elabo	elbow
elafant	elephant
eldiswan	eldest
elideis	early days
elideis	older
elideis	old-fashioned
elifan bibi	caterpillar
elikopta	helicopter
elti	healthy
embyulin	ambulance
emti	empty
emtiyim	empty
en	hand
en	and
enami	enemy
enbed	antbed
