meaning	kriol	english_gloss
37563787	blandim misalb	make oneself secure
37562446	tharran tubala	those two
37562450	go blekwan	go black
37562455	heya belt	belt from hair
37562455	heya belt	plaited wool
37562458	wankain waguwagu	silky oak type tree
37562462	beibi imiyu	baby one
37562465	fish spiya	spear : wire spear
37562469	brom spring kantri	plant from spring country
37562471	wankain burdiflawa	feather flower
37562475	redwan kain burdiflawa	Christmas bellsor win.ja win.ja
37562475	redwan kain burdiflawa	prob. winyja winyja
37562476	kaman futwok	come up walking
37562478	pudum insaid	put (it) in something
37562478	pudum insaid	put in something
37562483	kaman bigmob	come in big mob
37562486	wud bla faiya	forewood
37562488	peipabak kulaman	coolamon (paperbark)
37562674	peipabak kulaman	cooliman made from paperbark
37562492	barntgras	grass which has been burnt
37562494	wankain fish poisin	Cocky apple
37562501	giyaman la jambodi	lie (tell lie)
37562501	laya la mi	lie (tell lie)
37562502	giyaman	lie (tell lie)
37562518	giyaman	pretend to someone
37562509	la frant la	front : in front of
37562509	disaid la	front : in front of
37562515	dalim laya	lie (tell lie)
37562531	wandim bif	want to eat meat
37562531	wandim bif	be satisfied with meat
37562531	wandim bif	will eat meat
37562531	perish bla bif	want to eat meat
37562531	perish bla bif	be satisfied with meat
37562531	perish bla bif	will eat meat
37562536	peipabak kinu	canoe made from paperbark
37562547	mun gudan	go down of moon
37562547	san gudan	go down of moon
37562554	san gudan	go down (of sun)
37563039	wankain perit	Red-winged
37564228	wankain perit	Cochatiel
37562553	brashawei flai	brush away flies
37562560	grinwan gras	green (new) grass
37562565	sidan hip	sit down all together
37562567	blekberi daga	black berry tucker
37562577	jigiwan aligeida	salt water - man-eater
37562578	kren	Large Pied (Large Pied? Cormorant?)
37562578	kren	Large Pied
37562585	maindim nenigut	look after goats
37562586	wanim dum	what (is he) doing?
37562587	wanim dumbat	what … do
37562594	dak dak	duck (white?)
37562596	pleis bla toilet	toilet place
37562608	mota	sound of engine
37562608	enjin im jingat	sound of engine
37562615	gras la spring	grass sp.
37562623	gudwan bla dagat	nice to eat
37562630	gadem loda teis	lots of taste
37562635	pushum adbala	push hard
37562647	filing wori	feel worried
37562650	spirrit bla pejin	spirit of a person
37564093	gulijab la	close : to be close to something
37562661	gabarrimap gadi blengkit	chuck blanket over
37562664	blo nos	sniff up mucus
37562678	wankain wadul	Acacia with long flower
37562680	wankain wadul	acacia sp.
37563107	wankain wadul	wattle sp.
37563675	wankain wadul	wattle type
37564143	wankain wadul	with bright yellow round flowers
37562681	meigimbat spiya	make (a coolamon or spear)
37562690	pandamis	Pandanis
37562703	garrim no met	no mate
37562708	katim garri eks	cut with axe
37562714	burdiflawa be:d	Silver-crowned
37562716	go mitim	go and meet someone
37562716	gajolaim	go and meet someone
37562730	spit kamat	spit run or drip off
37562722	redwan lili	lilyseed
37562722	redwan lili	red; Lotus lily?
37562725	bigwan pijin	Bar-shouldered
37562730	randan	spit run or drip off
37562740	jigayam	yam : sugar yam
37562740	jugayem	yam : sugar yam
37562742	pedulim	paddle (a canoe)
37562743	ledim go kolbala	cold : leave till getting cold
37562747	jalg	poke (for turtle)
37563770	jalg	poke something in to make hole
37562750	stik bla bunggul	clapsticks for dance
37562755	bigmob waiya	several pieces (a bunch)
37562755	bigmob waiya	several pieces
37562755	5-6-bala	several pieces (a bunch)
37562755	5-6-bala	several pieces
37562756	raunwan daga	fruit sp
37562756	raunwan daga	for food
37562757	pudum la top	hang (something up)
37562757	pudum la top	put it on top
37562762	bardnes	nest of bird
37562764	lilwan kain be:d	swallow : wood swallow
37562767	jingat jangak	corroboree call by men
37562769	shabal spiya	make something die
37562842	shabal spiya	iron shovel spear
37562776	katim	cut (with kniffe)
37562777	wankain sigal	seagull : Silver Gull
37562778	jigal	sea birds
37562780	bluren	blue?
37562787	gajim gadi hen	catch (fish, etc.)
37562787	gajim gadi hen	feel for (it)
37562788	lili stem	waterlily stem
37562788	jawjaw	waterlily stem
37562794	pushum gadi hen	push with the hand
37562798	hambag la	cause too much noise
37562804	kilim la stik	hit bushes with a stick to shake them
37562804	sheikim bujij	hit bushes with a stick to shake them
37562810	jalgim	poke with stick (to find turtle, etc.)
37562810	jalgim	poke with stick
37564046	jalgim	keep on jabbing
37562818	wankain wisling be:d	Robust; Dusky Warbler
37564267	wankain wisling be:d	Robust Whistler
37564267	wankain wisling be:d	Dusky Warbler?
37564268	wankain lilwan be:d	Fairy Warblers
37562832	go la said	go along side (of hill)
37562833	dubala samkain gras	grass sp.
37564272	dubala samkain gras	two grasses
37562842	shabal nos spiya	iron shovel spear
37562847	waitwan burdiflawa	yellow flowered
37564282	waitwan burdiflawa	yellow floered Hibiscus
37564283	jing jing	suck breat
37562862	lilwan lif	something with
37564294	lilwan lif	something with little leaf?
37564295	lildak	little duck
37564295	wisling	little duck
37564296	longwan wadi	long yamstick
37564296	longwan yemstik	long yamstick
37564296	bla solwoda tri	long yamstick
37562872	bodl tri	tree : ’bottle tree’
37562878	fok bla tri	fork of tree
37562891	wankain pijin	Bar-shouldered
37563161	wankain pijin	Partridge Pigeon
37562892	dabulum misalb	cross leg
37562898	peipabak hawus	humpy made from paperbark or stringybark
37564311	peipabak hawus	paperbark humpy
37562898	peipabak hampi	humpy made from paperbark or stringybark
37564311	peipabak hampi	paperbark humpy
37562922	twistim faiyastik	twirl a fire stick
37564329	neidib jumbago	native tobacco
37562926	kemp bla singgulmen	camp for single men
37564330	kemp bla singgulmen	single men’s camp
37562932	jirjirdok	Black-headed
37564335	jirjirdok	Black-headed Pardalote
37562935	rostim la graun	roast on the ground
37562937	godan en ap	go down then up
37562939	wankain medsin	old time medicine plant
37562947	pulap yem	pull up (yams)
37564006	brekim	break - holde
37564006	brekim	bite off and break
37562951	prikliwan	prickly type
37564350	prikliwan	pirckly vine sp.
37562952	go eingul dip	go ankle deep
37562956	la midul	middle : to be in the middle
37563253	la midul	middle : in the middle
37564352	la midul	to be in the middle
37562957	bigwan longwan naif	machete style
37564353	bigwan longwan naif	big long knife
37562965	splitim la binji	split down front of kangaroo
37563359	burrumin	throw in (to water)
37562983	shek	shiver (with fright)
37562984	bigwan perit	Red-winged
37562986	bildimbat faiya	pick up wood and bring up to the hole
37564376	lilwan lilwan buj	small ground shrub
37562994	go wail la	angry : get angry at someone
37564378	go wail la	get wild at (someone)
37564378	go wail la	get wild at
37564378	go wail la	get angry at someone
37562994	gula jampap	angry : get angry at someone
37563200	gula jampap	get wild
37564378	gula jampap	get wild at (someone)
37564378	gula jampap	get wild at
37564378	gula jampap	get angry at someone
37562997	bogi bla yalbun	dive for lilyseed
37563010	barn garri fiba	burn (with fever)
37563011	wankain gras	grass sp.
37563012	draiwan wud	dead wood or leaves
37564388	draiwan wud	dry or dead wood or leaves
37563012	dedwan lif	dead wood or leaves
37564388	dedwan lif	dry or dead wood or leaves
37563014	gibit jik la	cheek : giving cheek
37564389	gibit jik la	giving cheek
37563014	jigibala la	cheek : giving cheek
37564389	jigibala la	giving cheek
37563014	tisin	cheek : giving cheek
37564389	tisin	giving cheek
37563015	wulijeim kinu	coolimon
37563015	wulijeim kinu	canoe-shaped
37563170	goran goran	go round and round (whirlygig)
37563037	fulwan	full one
37563040	meikim im hevi	heavy : be heavy for someone to carry
37563043	oldentaim	long time (ago)
37563051	daga bla barlarlbab	fruit of a reed
37563057	leidan la wansaid	lie on one side
37563065	bigwan braba perit	big red sp. with red wings
37563065	redwan wing	big red sp. with red wings
37563068	san hotwan	sun hot
37563075	wankain buj	northn sp.
37563101	wankain buj	shrub sp.
37563543	wankain buj	Hibiscus-like shrub
37563819	wankain buj	one type
37564115	wankain buj	shrub stype
37563087	difrenwan	cooliman
37563087	difrenwan	different sort
37563088	daga samting	fruit type
37563089	hantimwe	hunt (something?) away (from there)
37563096	lilirut	waterlily root
37563752	lilirut	Water Lily root
37563098	kuliba	Coolibah
37563102	la bush	wadul
37563102	la bush	wankain
37563113	gro fetwan	to get fat
37563116	hevi gadi slip	sleep : heavy with sleep
37563117	menggrob	mangrove?
37563120	go plei	go and play
37563130	frog singat	croak (frog)
37563135	meigim se:kul	gather into a circle
37563143	bigmob go	go in a big group
37563145	wankain fig	fig sp.
37563147	dumbat rongwei	do wrong(ly)
37563246	banbamis	Pandanis
37563154	lukabdimbat	look after someone
37563154	maindimbat	look after someone
37563160	twistim mijalb nek	twist one’s neck
37563169	gadi shotwan nek	Pied or Little Black
37563180	jidan niap	sit with knees up and feet down
37563187	faiyastik tri	fire stick tree or implement
37563538	faiyastik tri	fire stick tree
37563194	blobeg	white (hair)
37563194	blobeg	greying hair
37563200	git wail	get wild
37563205	nomo jabi	understand : can’t
37563206	meiki smok	smoke : to make
37563207	bigmob gowei	go away in a big group (big mob)
37563207	bigmob ran	go away in a big group (big mob)
37563218	lilwan grinwan gus	Goose : Green Pygmy
37563221	burrumap	put up (tent)
37563223	kol bla faiya	ashes (see also coals)
37563224	laik eprikot	fruit sp.
37563224	laik eprikot	with taste like apricot
37563237	jugabeg gras	grass : three kinds
37563937	jugabeg gras	sugarbag grass
37563238	redwan kol	coals in fire
37563238	redwan ashis	coals in fire
37563261	wankain wodabe:d	bird : water bird
37563278	swet gidap	hot - to be
37563281	beikim	knead (dough)
37563281	hit la hed	knead (dough)
37563282	karrimat	tired - to be
37563287	dayimap	tie up (with string)
37563291	bastimap gadi hen	bust with hand (as egg)
37563291	bastimap gadi hen	bust with hand
37563291	bastimap gadi hen	break with hand
37563295	weksimap	put wax on
37563297	linoba	lean against something
37563303	im deya	that (one)
37563310	imin stak	to be caught
37563312	meiki lait	fire burn at night - to see this
37563316	redwan o kolbala	hot or cold
37563319	steisan	cattle station
37563320	liliflawa	waterlily flower
37563323	mak la samting	mark to be there
37563324	bastimap jat graun	break up the ground?
37563327	rili wait	to be white
37563335	bulum bambu	play didjeridu
37564186	wisling igal	fork-tailed and square-tailed kites
37563341	wankain dakdak	duck sp.
37563976	gadem redwan burdiflawa	plant with red flower
37563359	meikim dirrwu	throw in (to water)
37563360	diwaj	little ducks
37563360	lilwan dakdak	little ducks
37563363	kukm la ashis	cook on red
37563363	kukm la ashis	hot ground
37563364	kuk la ashis	cook on red
37563364	kuk la ashis	hot ground
37563368	bajimap en flai	fly someone
37563369	bajimap gadi plen	fly away with
37563369	bajimap gadi plen	bring by plane
37563369	flaiwei gadim samting	fly away with
37563369	flaiwei gadim samting	bring by plane
37563383	dekimat ola sid	take out all seeds from lilyseed
37563385	rut bla tri	root or trunk of tree
37563387	nokim samting	knock something
37563388	gowe trabling	be traveling
37563389	olijem bo	bow-like
37563391	splitim	split (wood)
37563392	jandulwud	medicine tree
37563392	jandulwud	like wattle
37563392	jandulwud	black fruit; Sandalwood
37563392	medsin tri	medicine tree
37563392	medsin tri	like wattle
37563392	medsin tri	black fruit; Sandalwood
37563392	laik wadul	medicine tree
37563392	laik wadul	like wattle
37563392	laik wadul	black fruit; Sandalwood
37563392	gadem blekwan daga	medicine tree
37563392	gadem blekwan daga	like wattle
37563392	gadem blekwan daga	black fruit; Sandalwood
37563394	meigim hip	push in (coals)
37563394	meigim hip	push together into a heap
37563419	spiya hed	small stone (agate)
37563420	braunkren	Heron : Great-billed (and) White-necked
37563422	braunkren	white-fronted
37563420	braunwan kren	Heron : Great-billed (and) White-necked
37563423	wankain feja	spotted from crow
37563427	wudwan	cooliman
37563427	wudwan	for soaking yams (yanbarr)
37563427	wudwan	for soaking yams
37563427	bla jogim yem	cooliman
37563427	bla jogim yem	for soaking yams (yanbarr)
37563427	bla jogim yem	for soaking yams
37563445	goap raitap la	climb up to
37563445	goap raitap la	reach (a place)
37563448	baitim	break with teeth
37564006	baitim	break - holde
37564006	baitim	bite off and break
37563448	breigim garri tus	break with teeth
37563456	growimap biginini	rear children
37563456	growimap biginini	have children growing up
37563456	growimap kid	rear children
37563456	growimap kid	have children growing up
37563457	mabulwud	tree : ’Marble’
37563461	riba kantri tri	tree from river country
37563476	neil bla bogabain	spike(s) of porcupine
37563476	neil bla bogabain	spike of porcupine
37563487	burdi perit	parrot : green parrots
37563497	laitwan kain tri	light sp.
37563501	lukarta	look after a person
37563514	sheik leg	shake knees in dance
37563515	sheik leg	shake leg dance; beat time with stick
37563515	yusim klepstik	shake leg dance; beat time with stick
37563517	sopitri	soap tree
37563925	sopitri	soapy tree
37563518	tok la im	talk about one another
37563521	drai stik	stick or bush
37563521	drai stik	small shrub
37563521	drai buj	stick or bush
37563521	drai buj	small shrub
37563525	drim wanim	dream something
37563528	meikim sambodi karrimap	carry : make someone carry
37563542	gadem waitwan bak	white bark tree
37563552	faiyalif tri	fire leaf tree
37563558	barnimbat heya	singe hair
37563570	jidanlabat	sit : be sitting down
37563570	jidanabat	sit : be sitting down
37563572	wisling tri	river oak
37564037	wisling tri	River Oak
37563572	la solwoda	river oak
37563579	gadi redwan lif	plant species with round leaf
37563584	gudhanta	champion at hunting
37563586	jugalif	sugar leaf
37563595	solwoda aligeida	salt water (dangerous)
37563604	boiwan faiyastik	stick (pointed) in fire making kit
37563604	pointiwan stik	stick (pointed) in fire making kit
37563612	wankain walabi daga	tucker of wallaby
37563612	wankain walabi daga	one kind
37563623	wankain lilwan peipabak	small wattle-like leafed
37563625	waitgras	white grass
37563630	leidan beliap	lie belly up
37563631	pudum beliap	lay belly up
37563639	tok tok gija	talk among themselves
37563641	te:n	turn : a turn
37563649	wakwak singat	caw (of crow)
37563653	boilim det woda	churn up (water)
37563658	jagim spiya	throw spear
37563659	warrab	cause to; lay match to
37563666	warridila	constellation of the Pointers and alpha and beta Crucis (the two brightest stars of the Southern Cross)
37563669	kilim gadi roup	hit with rope
37563681	wokabat insaid	walk around inside
37563683	gibit rum	make space
37563686	meigim bako	vomit : make vomit
37563689	holo la tri	hole in tree
37563856	ston aben	oven of stones
37563696	ajad	outside the camp
37563975	ajad	away from the fire
37563697	gadi big lif	plant/tree sp.
37563697	gadi big lif	with big leaf
37563702	Alawa linggu	cf galawa
37563702	Alawa linggu	warliburru
37563704	propa	proper(ly)
37563704	propa	real(ly)
37563711	la det pleis	there : to over there
37563713	imin bajimap	fetched?
37563716	brom lodan	down : from lower down
37563724	brom deya	there : from there
37563736	dijan iya	this here (fem.)
37563740	gelwanpat bla faiyastik	fire stick equipment: ’female’ part
37563743	jigi gras	grass : knife grass sp.
37563760	brom iya	here : from here
37563760	brom dijan	here : from here
37563762	tharrei gin	here somewhere
37563762	iya samwea	here somewhere
37563768	jamp jamp	jump with fright
37563768	mubabat	jump with fright
37563770	jalgimim	poke something in to make hole
37563776	lilistem	waterlily stem
37563953	lilistem	waterlily stalk
37563776	jaw-jaw	waterlily stem
37563787	meigim misalb strong	make oneself secure
37563787	faindim trek	make oneself secure
37563821	mabul tri	marble tree
37563821	wankain bush	marble tree
37563839	wankain lili	waterlily sp.
37563839	wankain lili	gurryag
37563844	draimat la san	dry out in sun (lilyseed, etc.)
37563852	futeik	foot aching
37563855	pleiwan spiya	toy one
37563864	lilwan lilwan stik	in grass
37563868	la tap	top - on top
37563882	la tap	top : on top
37563879	sing gadim stik	beat boomerangs or clapsticks
37563886	shiftim misalb	shift oneself
37563890	lililif	waterlily leaf
37563898	meigim leidan lagijat	make lie
37563915	kan wok	can’t walk
37563918	meigim goin	go in : to make someone/thing
37563922	wankain longwan gras	long sp.
37563927	nek bla be:d	throat of bird
37563949	lirri-lirri	lirri-lirri
37563958	kadim gadi tomiok	cut with a tomahawk
37563961	tharran deya	that one there
37563962	brom tharrei	from that way
37563970	katim raitap	chop once
37563970	katim raitap	chop in one go
37563971	gejim garra hen	scooop up with hands
37563992	im jarre	that direction
37563996	gejim wada	get water round for water
37563997	raunbala bla wada	round for water
37563999	bulumat burrum faya	take out from fire
37563999	bulumat burrum faya	sweep dust away
37564002	lilwan gras lisad	common grass copper-tailed
37564006	brekim - gejim	break - holde
37564006	brekim - gejim	bite off and break
37564017	kerisinwud	Kerosene Tree
37564017	kerisinwud	emu tucker
37564046	spirim	keep on jabbing
37564046	jalg la	keep on jabbing
37564047	rostim la aben	roast in oven
37564048	mekim jigibala	to make
37564049	munanga eks	steel (whiteman’s)
37564051	wankain wadi	shrub/tree with round fruit
37564051	gadem raunwan daga	shrub/tree with round fruit
37564054	wankain lilwan wadi	fern sp.
37564058	jiginok	hawk : ’kite hawk’
37564064	tadulok	hawk : ’kite hawk’
37564064	kwaitok	hawk : ’kite hawk’
37564065	singinat	call up someone
37564065	kolumap	call up someone
37564066	lilbit longwei	a little way away
37564067	lilbit longwei	far : too far
37564069	go thru	go through come through - go/come
37564069	kaman thru	go through come through - go/come
37564070	pulumat brom faiya	take out from the fire
37564070	pulumat brom faiya	remove from fire
37564071	blukrein	heron : Great-billed and White-necked herons
37564075	irrim mijalb	feel (oneself)
37564075	filim mijalb	feel (oneself)
37564082	buldan la	tumble (trans)
37564082	tamblim	tumble (trans)
37564082	gerd gerd la	tumble (trans)
37564088	krol kriol	go on hands and knees
37564090	jingat gelele	call gelele
37564119	mekim sikbala	make someone no good
37564119	mekim sikbala	sick of you
37564125	maindim mijalb	careful - be
37564135	gadi red ai	bird : White-breasted Whistler and White-winged Sitella
37564138	alta	money (coin)
37564139	danim la ston	stone - turn to
37564139	go olijem ston	stone - turn to
37564145	go lida	go in lead
37564145	go lalid	go in lead
37564151	jigiaul	Owl : Masked
37564151	jigiaul	Barn?
37564162	bla wajim	soap (gulag gulagnguwal)
37564184	abdanuntaim	yesterday in the afternoon or evening
37564186	liligal	fork-tailed and square-tailed kites
37564191	ai bla spiya	spear barb
37564192	sorri bla sambodi	sorry - feel sorry for someone
37564249	gwelew	Curlew : Southern Stone
37564254	Guyanggan	Guyangan
